id,name,popularity,duration_ms,explicit,artists,release_date,danceability,key,acousticness,instrumentalness,tempo
0VoyCzfd4M5p23pu5HL1Vy,Can't Stop This Feeling (Deep House Dance Party Remix),25,185803,0,['Greg Sletteland'],2020-01-01,0.637,G#,0.00839,0.0777,123.912
2m50HsnzEczYBaYrcf7duI,מים שקופים,48,180880,0,['Omer Adam'],2020-01-01,0.625,B,0.47,0.0,91.606
1HibPS9XZcq91JkEFVNdHx,המלכה של השכונה,41,155427,0,['Omer Adam'],2020-01-01,0.786,F#,0.241,0.0,111.992
1QD7KtRE3D1IUHhPsSRpz5,I Have a Dream (Deep House Dance Party Remix),25,141640,0,['Greg Sletteland'],2020-01-01,0.809,G,0.0119,0.837,122.01
5pFAe3583L3RgD4UBczqrC,Searching,0,254280,0,['The Silent Deeds'],2020-01-01,0.421,E,0.000855,0.000213,125.004
3ySvEhEJcZWX6enZTpkzXW,Sweet September,0,215571,0,['The Silent Deeds'],2020-01-01,0.408,B,0.000951,0.0648,170.005
18Ni5EvqrJesPqVv6HwZg3,"Home - 132 Bpm, 32 Count Pro Edition",16,192772,0,['Gym Workout DJ Team'],2020-01-01,0.587,B,0.00189,0.0514,131.983
7oIkxPZosfmpJM86sfytEC,Pergi Hilang Dan Lupakan,51,287974,0,['Vita Alvia'],2020-01-01,0.759,C,0.00506,1.77e-05,110.001
1FARiXM2DUyVE7vCa4BXjZ,אין סופים טובים,40,209014,0,['Omer Adam'],2020-01-01,0.679,A,0.234,0.0,109.078
5saAn4DemGjEgtGFHJX7U6,Отиваш си,32,244288,0,"['Emilia', 'Toni Storaro']",2020-01-01,0.703,D,0.177,3.36e-05,141.91
1wDsCKx6DbevWBaHnHnw6U,Happy New Years (Let's Fall in Love Again) 2019,0,230885,0,['Jeff Kiefer'],2020-01-01,0.412,A,0.169,1.25e-05,130.068
0dikInIdkIx7DWsweSJpzQ,רסיסים - אקוסטי,41,189128,0,"['Keren Peles', 'Raviv Kaner']",2020-01-01,0.421,A,0.942,1.55e-06,76.342
5P0M3cOeFfsozvQZdPKvlA,"Check the Beat - 132 Bpm, 32 Count Pro Edition",15,206497,0,['Gym Workout DJ Team'],2020-01-01,0.601,F#,4.28e-06,0.815,132.029
1ShWT8ysXUqZVvCenbPUrJ,Darkness of the Night,0,199219,0,['The Silent Deeds'],2020-01-01,0.543,G,0.0129,0.018,128.008
0GmaOpCPWv7uDuTub2SNLU,יעשו לנו כבוד,42,200973,0,['Omer Adam'],2020-01-01,0.752,B,0.524,0.0,130.105
23OpaiKRC2kJxilO3Vykco,"The Box - 132 Bpm, 32 Count Pro Edition",17,178208,0,['Gym Workout DJ Team'],2020-01-01,0.568,C#,0.162,0.000225,131.978
0YBE89ytDgcVWtzknmokDB,רציתי שזה יכאיב,38,175000,0,['Roni Dalumi'],2020-01-01,0.645,D,0.109,0.0,192.055
7puPB5ixFOkP7nYysVqCU1,Oh Baby Baby (Electronic Dance Party Remix),25,219257,0,['Greg Sletteland'],2020-01-01,0.802,C#,0.000427,0.182,116.007
73IHbP7MBz8BXsl3fXLKrZ,"Drop It - 132 Bpm, 32 Count Pro Edition",16,197744,0,['Gym Workout DJ Team'],2020-01-01,0.494,D,0.00766,0.862,132.143
09MtNaY1DcRqBumCkIRVND,שני משוגעים,50,170773,0,['Omer Adam'],2020-01-01,0.695,B,0.434,0.0,116.776
0U9axeaPpEKDK6IYeoakZ3,"Apollo - 132 Bpm, 32 Count Pro Edition",19,196904,0,['Gym Workout DJ Team'],2020-01-01,0.529,F#,0.0054,0.749,131.906
4y3SXCuVXO8fj0BTSUzvy6,Let's Play (Deep House Dance Party Remix),24,185799,0,['Greg Sletteland'],2020-01-01,0.748,A#,0.125,0.882,124.005
6LlzRIPofOK1QDVQOomrpo,Follow Me (Chill Electronic Music Remix),24,216774,0,['Greg Sletteland'],2020-01-01,0.739,G,0.0349,0.852,124.033
24BvlSG2Y36Heg1dwLwHtu,Uslanmıyor Bu,63,193083,0,['Zeynep Bastık'],2020-01-01,0.697,G,0.503,0.0,86.0
20vk0FBPnnUXC4wjfMF9Zd,Thinking About You (Chill Deep House Remix),24,205724,0,['Greg Sletteland'],2020-01-01,0.644,F#,0.0573,0.913,124.999
3HFBPDn9PDxqjqLzaolPrw,All My Life (Chill Electronic Music Remix),24,240004,0,['Greg Sletteland'],2020-01-01,0.648,G,0.0868,0.41,127.977
1JjUJUycDSFvZK0iWGWFW9,Baby You're One of a Kind (Chill Electronic Music Remix),25,230221,0,['Greg Sletteland'],2020-01-01,0.728,G,4.71e-05,0.56,125.023
56tHWxun34uJ4atMqfjUek,Paradise Like Islands in the Sky (Deep House Dance Party Remix),25,185806,0,['Greg Sletteland'],2020-01-01,0.832,A,0.00639,0.25,124.019
6wccYNxf7oQlLj3hhBbIno,My Body Is so into You (Deep House Dance Party Remix),25,216774,0,['Greg Sletteland'],2020-01-01,0.615,A#,0.000225,0.823,124.009
2csxnlEoZThTmNF3Fa6wCd,Apakah Itu Cinta,54,311098,0,['Happy Asmara'],2020-01-01,0.712,A#,0.00102,0.1,114.993
01JYQhAS2nLXSdwVlB3nM7,The DJ Played My Favorite Song (Deep House Dance Party Remix),24,232257,0,['Greg Sletteland'],2020-01-01,0.802,D,0.194,0.898,123.995
44pKbfoyixQSaiiJde9i1F,BEG,45,175924,0,"['Omer Adam', 'Netta']",2020-01-01,0.916,C,0.0176,1.06e-05,100.005
5by3TCFHK3YRQzxpR9PcZ0,Caribe,59,140786,1,"['VillaBanks', 'Linch', 'Brando Luis']",2020-01-01,0.932,C,0.222,0.0,139.962
4r2M86IJ1stGAI55PRRib0,Balou,45,129061,0,['Benny Jamz'],2020-01-01,0.904,A#,0.13,0.00279,104.982
3Y3fjY7sfmHzNOyyTdECAr,"Here We Go! - 132 Bpm, 32 Count Pro Edition",11,194873,0,['Gym Workout DJ Team'],2020-01-01,0.529,B,4.6e-05,0.548,131.977
1BuhfH6uUFbkUhfrMal38H,לשון הרע לא מדבר אליי,40,214760,0,['Omer Adam'],2020-01-01,0.584,C,0.576,0.0,75.018
6O8AI2tOKLKQ6C3Emm2KAL,New Years 2020,12,187800,1,['meija'],2020-01-01,0.591,C,0.268,0.0,75.0
7CRAq7uALKmK3CDSMzpP39,I Just Want You Baby (Chill Electronic Music Remix),24,201295,0,['Greg Sletteland'],2020-01-01,0.738,A#,0.403,0.926,124.058
5LJ3F6BPFfwpjbzYQN2cIx,One More Time Hands up Hollywood (Electronic Dance Party Remix),25,254977,0,['Greg Sletteland'],2020-01-01,0.69,E,0.000332,0.0889,128.002
2Gl0xdYcjTkMnqEm687VZB,Lose My Defenses (Yoga & Pilates Chill Electronic Music Remix),25,185807,0,['Greg Sletteland'],2020-01-01,0.707,D#,0.0875,0.935,124.018
5JBNaA1vLL1r2BLU8mIx61,"Turn Me On (Dr. Love) - 132 Bpm, 32 Count Pro Edition",24,198164,0,['Gym Workout DJ Team'],2020-01-01,0.635,C#,0.000283,0.737,131.978
5VVOuc8fgkGsnXS6q13F80,וואי,39,188241,0,['Omer Adam'],2020-01-01,0.603,B,0.523,0.0,144.005
4iVUdetI0cQ4cOmuvGEyuA,Feel Love in the Music (Chill Electronic Music Remix),25,185805,0,['Greg Sletteland'],2020-01-01,0.853,G,0.27,0.95,123.994
22KhKpUcXvYzq8ecitvyS2,Goodbye 2019...,0,203598,0,['Page. 20'],2020-01-01,0.454,F,0.436,0.0129,165.83
7jA3zTLaXW0nCi2xj056ne,אוהבת אותי אמיתי,44,218698,0,['Omer Adam'],2020-01-01,0.56,A,0.931,0.0,101.399
5uDdlGnNidP0iBOiWPhhPz,I Can Feel the Love from You (Deep House Dance Party Remix),25,188864,0,['Greg Sletteland'],2020-01-01,0.753,D#,0.00695,0.197,121.97
6j5Ikt9UCVmpdWOcfk5ngq,Here We Go,1,237797,0,['The Silent Deeds'],2020-01-01,0.297,C#,0.152,0.0,179.243
4o0f4jkkTk098vms8MwG7N,שגרה מפוארת,48,172712,0,['Omer Adam'],2020-01-01,0.783,C#,0.831,0.0,122.767
5u6Fd6eVyq2zwqusqQm0zU,"Kidsos - 132 Bpm, 32 Count Pro Edition",15,262725,0,['Gym Workout DJ Team'],2020-01-01,0.622,C,0.0349,0.0794,131.938
2sQZxNzaO6rlDRygPXPHw6,Happy 2020,13,128000,0,['certainprod.'],2020-01-01,0.744,C,0.0142,0.973,105.01
10jhgDZqUUqpX7rtZYsELy,Your YEAR 2021 Expectation Miracles Praise,0,1016477,0,['Naijaballan3'],2020-01-01,0.399,A#,0.0882,0.0,137.188
3jKnBekjylYA4yGtVegX2Z,חברות שלך,46,206523,0,['Omer Adam'],2020-01-01,0.584,C,0.315,0.0,100.028
7s8beAgM4tl4shmSjPoctu,Banyu Moto,54,246359,0,"['Nella Kharisma', 'Dory Harsa']",2020-01-01,0.629,D,0.356,0.000426,140.013
3DkpThpq5Nos0vy1cCgQ4e,Can We Take This to the Next Level (Fitness Workout Music Remix),24,187510,0,['Greg Sletteland'],2020-01-01,0.636,D,0.151,0.604,128.022
3YheyJ5hmE5119nBnGCt9W,Two Hearts All In (Deep House Dance Party Remix),24,208001,0,['Greg Sletteland'],2020-01-01,0.81,E,0.000856,0.924,119.983
6qRpJ9vJlSppO07xPJPv8k,Light It Up (Chill Electronic Music Remix),25,193548,0,['Greg Sletteland'],2020-01-01,0.769,G,0.00012,0.888,124.006
4qAHhdpiGcbzqwjqmwuXwj,רסיסים,59,201190,0,['Raviv Kaner'],2020-01-01,0.59,D,0.413,0.0,73.99
27EhpeRmENpd1hB2OqNfSc,"Ready to Flow - 132 Bpm, 32 Count Pro Edition",14,176457,0,['Gym Workout DJ Team'],2020-01-01,0.568,F,2.69e-05,0.806,132.061
13YRW5WzNufYn7OmLutScz,Bedste ven,45,185293,0,['Benny Jamz'],2020-01-01,0.69,G,0.0185,0.0013,160.068
7FdKZtTkj2gr3nyJviVtZ3,"Pulverturm - 132 Bpm, 32 Count Pro Edition",15,180308,0,['Gym Workout DJ Team'],2020-01-01,0.65,B,0.0146,0.884,132.032
4Hqh0dS4x07zuRw6eBTO7p,20/20,71,230448,1,['Lil Tjay'],2020-01-01,0.886,E,0.557,0.0,100.044
1w7Wovzx1mc0iM0UgY6WzG,רחוק מכולם,46,175213,0,['Omer Adam'],2020-01-01,0.804,A,0.674,0.0,120.063
0F9SHOFz9rbXqlTDiEiyvD,Tweakin',50,150073,1,['guapslimefrr'],2020-01-01,0.699,G,0.0108,0.0,162.03
40fcXSuSb80MekMZM1ei2J,溫柔 #MaydayBlue20th - feat.孫燕姿,57,271019,0,"['Mayday', 'Stefanie Sun']",2020-01-01,0.437,A#,0.392,0.0,148.068
70Ts1uhxsqYRo1POyl5Ziy,For Years - Remastered,0,370244,0,['Keith Cook'],2020-01-01,0.473,E,0.776,7.66e-06,81.793
0SmONAOd7PGXOhlPvIKedj,"1 2 3 Go! - 132 Bpm, 32 Count Pro Edition",11,205447,0,['Gym Workout DJ Team'],2020-01-01,0.451,G,0.000128,0.824,132.03
0CIgOv47v9tAj96b5y7CYc,Slumz 2016 - 2017 (Bonus Track),0,130375,1,['$tar$eed'],2020-01-01,0.923,A#,0.0375,0.0202,100.046
6TWTQhEXtv1jPWH53qpJPw,"Love, Feel It Be It (Deep House Dance Party Remix)",1,230249,0,['Greg Sletteland'],2020-01-01,0.732,G,0.0562,0.229,125.074
5UajrlVvGZFvh9pP5hyGuF,"Played-A-Live (The Bongo Song) - 132 Bpm, 32 Count Pro Edition",11,192422,0,['Gym Workout DJ Team'],2020-01-01,0.562,G#,0.0127,0.925,132.024
